Fecha,Prroductos,TotalConsumidoLt,miembro,año,mes,dia
2021-03-16 23:43:15.215000000,te,1,hijo,2021,3,16
2021-11-12 05:22:10.650000000,refresco,3,hija,2021,11,12
2021-09-25 10:34:58.119000000,te,3,abuela,2021,9,25
2021-01-07 11:37:52.431000000,te,2,mama,2021,1,7
2021-04-05 00:19:54.763000000,refresco,0,hijo,2021,4,5
2021-04-26 09:59:59.514000000,te,1,papa,2021,4,26
2021-09-20 09:14:52.777000000,jugo,1,mama,2021,9,20
2021-11-22 10:53:25.319000000,te,3,hija,2021,11,22
2021-03-15 00:44:29.509000000,jugo,1,hijo,2021,3,15
2021-06-10 05:41:51.103000000,jugo,2,hijo,2021,6,10
2021-09-19 10:02:17.600000000,refresco,3,abuelo,2021,9,19
2021-07-17 20:38:10.487000000,te,1,abuelo,2021,7,17
2021-05-23 19:48:11.324000000,refresco,3,abuela,2021,5,23
2021-12-22 12:30:55.343000000,te,3,hijo,2021,12,22
2021-02-20 17:21:53.638000000,te,1,hija,2021,2,20
2021-07-17 21:31:39.253000000,refresco,0,mama,2021,7,17
2021-03-06 11:30:12.585000000,jugo,2,hija,2021,3,6
2021-08-07 17:57:00.695000000,agua,1,hija,2021,8,7
2021-08-04 02:52:54.228000000,refresco,2,abuela,2021,8,4
2021-03-07 07:11:39.885000000,jugo,0,papa,2021,3,7
2021-09-04 13:00:40.606000000,jugo,2,mama,2021,9,4
2021-10-05 11:52:05.415000000,te,0,abuelo,2021,10,5
2021-12-05 15:12:58.466000000,jugo,1,abuela,2021,12,5
2021-07-14 05:54:02.617000000,jugo,1,mama,2021,7,14
2021-01-09 02:01:25.911000000,jugo,2,hijo,2021,1,9
2021-01-21 12:13:45.857000000,te,1,papa,2021,1,21
2021-06-09 01:32:46.256000000,jugo,0,abuelo,2021,6,9
2021-09-27 14:50:39.964000000,te,2,papa,2021,9,27
2021-05-31 08:09:48.028000000,te,2,hija,2021,5,31
2021-12-26 15:15:36.086000000,te,2,abuelo,2021,12,26
2021-09-06 00:24:48.898000000,jugo,3,mama,2021,9,6
2021-04-01 20:47:56.833000000,te,1,abuela,2021,4,1
2021-01-07 22:58:17.331000000,jugo,1,abuela,2021,1,7
2021-01-27 02:05:37.038000000,agua,2,papa,2021,1,27
2021-04-07 23:42:02.913000000,refresco,2,hija,2021,4,7
2021-07-13 08:33:46.445000000,te,3,mama,2021,7,13
2021-03-03 08:02:34.596000000,te,2,abuela,2021,3,3
2021-12-11 02:22:54.503000000,refresco,1,hija,2021,12,11
2021-04-30 23:51:28.034000000,refresco,3,papa,2021,4,30
2021-09-29 11:57:38.386000000,jugo,1,abuelo,2021,9,29
2021-11-28 10:50:50.816000000,jugo,2,abuelo,2021,11,28
2021-11-08 05:45:04.887000000,te,2,hija,2021,11,8
2021-07-07 16:16:39.572000000,agua,3,hijo,2021,7,7
2021-01-23 14:26:19.470000000,te,1,mama,2021,1,23
2021-12-01 15:24:50.184000000,agua,1,mama,2021,12,1
2021-07-26 23:10:26.457000000,agua,3,hijo,2021,7,26
2021-05-22 05:19:06.476000000,refresco,1,abuelo,2021,5,22
2021-02-07 17:46:46.260000000,jugo,2,mama,2021,2,7
2021-08-31 13:10:30.820000000,refresco,2,hijo,2021,8,31
2021-08-13 02:36:22.520000000,refresco,2,hijo,2021,8,13
2021-02-21 12:18:35.005000000,agua,2,abuela,2021,2,21
2021-05-13 13:42:18.421000000,agua,1,abuelo,2021,5,13
2021-04-15 12:54:19.872000000,refresco,2,papa,2021,4,15
2021-12-29 19:41:46.588000000,te,0,abuelo,2021,12,29
2021-12-13 00:24:41.769000000,refresco,3,abuela,2021,12,13
2021-06-12 11:51:09.799000000,te,1,mama,2021,6,12
2021-12-08 14:09:12.184000000,refresco,2,abuelo,2021,12,8
2021-03-15 04:40:55.501000000,refresco,2,mama,2021,3,15
2021-12-30 09:36:26.519000000,refresco,3,abuelo,2021,12,30
2021-03-15 12:06:08.907000000,refresco,2,abuela,2021,3,15
2021-11-18 08:27:13.257000000,refresco,1,hijo,2021,11,18
2021-12-24 18:24:12.812000000,jugo,3,papa,2021,12,24
2021-06-25 02:43:37.291000000,te,1,hija,2021,6,25
2021-03-20 09:28:53.422000000,jugo,2,mama,2021,3,20
2021-10-05 05:17:02.204000000,jugo,2,abuelo,2021,10,5
2021-06-20 13:14:20.767000000,refresco,1,hijo,2021,6,20
2021-07-10 21:39:53.155000000,refresco,0,hijo,2021,7,10
2021-04-27 17:42:34.286000000,jugo,1,abuelo,2021,4,27
2021-09-16 12:48:52.430000000,agua,1,hijo,2021,9,16
2021-08-11 08:48:07.192000000,te,1,abuela,2021,8,11
2021-05-17 13:29:04.657000000,te,2,hijo,2021,5,17
2021-03-27 09:07:18.081000000,refresco,1,hija,2021,3,27
2021-04-09 18:05:32.660000000,te,1,hija,2021,4,9
2021-11-05 14:55:15.841000000,agua,1,mama,2021,11,5
2021-04-09 20:20:49.068000000,te,2,abuela,2021,4,9
2021-10-28 07:15:35.718000000,jugo,3,abuelo,2021,10,28
2021-03-31 19:35:25.843000000,agua,0,abuela,2021,3,31
2021-11-13 00:46:38.996000000,agua,3,mama,2021,11,13
2021-08-13 14:29:12.432000000,te,0,papa,2021,8,13
2021-06-16 02:50:59.453000000,te,3,papa,2021,6,16
2021-09-02 06:54:39.380000000,agua,2,hijo,2021,9,2
2021-05-02 07:45:59.997000000,jugo,1,mama,2021,5,2
2021-01-28 01:40:09.145000000,agua,0,abuelo,2021,1,28
2021-10-19 05:33:25.507000000,agua,3,mama,2021,10,19
2021-11-05 02:57:01.081000000,agua,0,hijo,2021,11,5
2021-04-26 10:42:30.476000000,te,2,hijo,2021,4,26
2021-12-18 07:53:36.960000000,jugo,3,abuela,2021,12,18
2021-01-10 03:16:30.742000000,agua,0,papa,2021,1,10
2021-02-15 01:40:55.269000000,te,2,abuela,2021,2,15
2021-10-27 11:50:53.113000000,refresco,1,hijo,2021,10,27
2021-08-05 18:24:34.261000000,agua,1,hijo,2021,8,5
2021-12-20 03:21:39.094000000,jugo,0,mama,2021,12,20
2021-12-12 16:46:27.983000000,jugo,1,abuela,2021,12,12
2021-02-16 11:45:19.128000000,jugo,0,abuelo,2021,2,16
2021-11-12 03:30:25.128000000,refresco,1,hijo,2021,11,12
2021-12-05 16:26:38.004000000,te,2,abuelo,2021,12,5
2021-05-17 03:01:27.596000000,jugo,2,hija,2021,5,17
2021-04-20 06:47:46.150000000,jugo,1,abuelo,2021,4,20
2021-04-21 09:09:17.265000000,te,2,hijo,2021,4,21
2021-06-14 02:10:29.417000000,refresco,3,abuelo,2021,6,14
2021-01-17 01:30:33.302000000,refresco,2,hija,2021,1,17
2021-01-25 11:36:32.190000000,agua,0,hija,2021,1,25
2021-05-25 04:57:53.828000000,refresco,2,abuela,2021,5,25
2021-01-21 04:22:23.628000000,refresco,1,papa,2021,1,21
2021-03-29 13:07:17.863000000,refresco,1,papa,2021,3,29
2021-11-28 03:11:16.923000000,te,1,hijo,2021,11,28
2021-02-03 19:36:45.761000000,refresco,3,abuela,2021,2,3
2021-06-10 21:59:04.030000000,jugo,1,hija,2021,6,10
2021-09-21 23:20:57.520000000,te,2,hija,2021,9,21
2021-02-15 17:09:06.051000000,agua,0,papa,2021,2,15
2021-03-14 16:15:43.956000000,agua,1,abuela,2021,3,14
2021-01-26 13:22:33.188000000,agua,2,papa,2021,1,26
2021-08-02 14:11:43.068000000,te,1,papa,2021,8,2
2021-07-17 06:45:27.067000000,te,0,abuelo,2021,7,17
2021-07-14 05:11:29.526000000,agua,0,hijo,2021,7,14
2021-07-20 00:41:13.260000000,agua,3,abuelo,2021,7,20
2021-11-27 16:44:03.667000000,te,2,hijo,2021,11,27
2021-09-06 21:10:11.783000000,agua,1,hijo,2021,9,6
2021-05-16 06:31:52.340000000,refresco,2,abuela,2021,5,16
2021-06-11 18:34:31.728000000,jugo,1,abuela,2021,6,11
2021-07-04 05:20:43.806000000,refresco,2,papa,2021,7,4
2021-07-01 18:23:22.413000000,agua,3,hijo,2021,7,1
2021-03-13 16:01:39.017000000,agua,2,hija,2021,3,13
2021-11-21 00:57:59.316000000,te,3,papa,2021,11,21
2021-01-06 14:23:32.931000000,agua,3,hijo,2021,1,6
2021-05-29 10:07:25.562000000,refresco,1,abuelo,2021,5,29
2021-04-15 16:20:50.097000000,agua,3,mama,2021,4,15
2021-02-22 06:20:13.533000000,refresco,1,abuelo,2021,2,22
2021-12-25 11:24:50.712000000,te,0,abuela,2021,12,25
2021-05-06 03:54:11.063000000,te,2,mama,2021,5,6
2021-06-14 04:14:08.121000000,jugo,1,abuela,2021,6,14
2021-12-12 12:47:39.692000000,jugo,2,papa,2021,12,12
2021-07-25 15:37:21.731000000,agua,1,abuela,2021,7,25
2021-03-02 12:18:43.015000000,jugo,1,abuela,2021,3,2
2021-05-31 01:20:26.151000000,jugo,0,papa,2021,5,31
2021-08-08 19:18:07.190000000,te,2,hijo,2021,8,8
2021-12-09 02:48:06.167000000,refresco,3,hijo,2021,12,9
2021-01-07 21:17:45.517000000,refresco,3,abuelo,2021,1,7
2021-07-23 16:26:07.643000000,refresco,2,papa,2021,7,23
2021-12-08 23:45:44.157000000,refresco,2,hija,2021,12,8
2021-03-23 15:05:44.715000000,agua,2,mama,2021,3,23
2021-07-10 09:54:32.931000000,te,2,hijo,2021,7,10
2021-04-21 03:55:33.221000000,agua,2,mama,2021,4,21
2021-12-31 08:31:49.216000000,refresco,2,abuelo,2021,12,31
2021-08-15 19:35:09.157000000,jugo,0,papa,2021,8,15
2021-07-11 05:02:01.073000000,jugo,2,hijo,2021,7,11
2021-05-20 13:09:56.025000000,agua,2,mama,2021,5,20
2021-05-29 10:01:00.916000000,jugo,1,mama,2021,5,29
2021-08-06 06:33:49.601000000,refresco,0,abuela,2021,8,6
2021-04-26 02:49:11.868000000,jugo,1,mama,2021,4,26
2021-01-08 23:42:34.337000000,jugo,3,abuela,2021,1,8
2021-09-10 05:51:15.812000000,refresco,1,papa,2021,9,10
2021-12-06 00:15:53.809000000,refresco,3,hija,2021,12,6
2021-11-10 14:34:45.536000000,refresco,1,papa,2021,11,10
2021-12-11 20:49:45.610000000,jugo,1,abuelo,2021,12,11
2021-07-19 07:07:10.888000000,agua,3,mama,2021,7,19
2021-11-14 19:34:53.171000000,jugo,2,hija,2021,11,14
2021-07-05 03:59:54.511000000,refresco,2,abuelo,2021,7,5
2021-01-15 13:58:50.697000000,agua,1,mama,2021,1,15
2021-11-01 02:59:52.300000000,jugo,2,hijo,2021,11,1
2021-08-15 10:50:26.826000000,agua,1,abuelo,2021,8,15
2021-12-13 13:16:32.227000000,te,1,mama,2021,12,13
2021-06-17 10:34:13.316000000,agua,0,mama,2021,6,17
2021-05-19 19:26:46.457000000,jugo,2,hijo,2021,5,19
2021-09-04 12:54:57.929000000,jugo,2,abuela,2021,9,4
2021-04-03 03:28:04.263000000,agua,2,abuelo,2021,4,3
2021-07-04 21:45:11.455000000,te,1,abuela,2021,7,4
2021-06-03 01:53:00.053000000,refresco,0,abuela,2021,6,3
2021-02-17 05:25:00.916000000,te,3,mama,2021,2,17
2021-12-06 09:53:22.334000000,agua,1,papa,2021,12,6
2021-08-11 21:53:07.091000000,te,0,hijo,2021,8,11
2021-11-20 19:26:18.150000000,agua,3,abuelo,2021,11,20
2021-02-15 04:44:04.139000000,refresco,2,hijo,2021,2,15
2021-06-08 06:46:08.182000000,jugo,2,abuela,2021,6,8
2021-03-22 03:28:47.013000000,te,1,abuelo,2021,3,22
2021-12-25 19:26:10.874000000,refresco,3,abuelo,2021,12,25
2021-03-13 14:27:49.193000000,jugo,1,abuela,2021,3,13
2021-03-14 07:29:49.800000000,refresco,3,abuela,2021,3,14
2021-04-08 05:22:50.159000000,te,2,hija,2021,4,8
2021-06-29 09:21:31.856000000,agua,1,papa,2021,6,29
2021-01-09 20:57:29.537000000,jugo,2,mama,2021,1,9
2021-11-18 06:19:49.180000000,jugo,1,papa,2021,11,18
2021-07-19 23:46:23.931000000,jugo,1,hijo,2021,7,19
2021-09-01 08:35:38.844000000,te,2,abuelo,2021,9,1
2021-04-28 04:11:36.726000000,te,3,abuela,2021,4,28
2021-10-04 22:22:52.308000000,refresco,0,abuela,2021,10,4
2021-01-07 12:31:45.883000000,refresco,2,mama,2021,1,7
2021-09-15 01:02:36.194000000,te,2,abuelo,2021,9,15
2021-03-22 15:28:57.403000000,jugo,0,mama,2021,3,22
2021-11-12 18:13:15.262000000,te,1,hijo,2021,11,12
2021-09-24 23:43:14.018000000,refresco,0,hijo,2021,9,24
2021-06-06 22:48:11.656000000,te,1,mama,2021,6,6
2021-12-24 07:18:54.819000000,agua,2,papa,2021,12,24
2021-09-22 13:26:15.343000000,refresco,3,abuelo,2021,9,22
2021-04-26 12:55:17.331000000,jugo,1,abuela,2021,4,26
2021-04-11 01:49:12.487000000,refresco,1,papa,2021,4,11
2021-01-23 23:20:19.614000000,refresco,2,abuelo,2021,1,23
2021-12-03 08:28:46.762000000,agua,3,abuela,2021,12,3
2021-04-28 19:36:51.287000000,agua,3,hija,2021,4,28
2021-05-15 16:07:04.894000000,te,1,hijo,2021,5,15
2021-01-07 07:16:49.618000000,jugo,1,mama,2021,1,7
2021-12-18 11:16:55.971000000,refresco,2,hijo,2021,12,18
2021-04-12 04:36:00,agua,1,hija,2021,4,12
2021-08-31 20:40:27.266000000,agua,2,abuela,2021,8,31
2021-09-15 04:56:04.776000000,agua,1,abuelo,2021,9,15
2021-02-19 04:16:16.186000000,refresco,3,mama,2021,2,19
2021-07-27 01:07:11.673000000,te,2,abuelo,2021,7,27
2021-06-30 17:29:45.626000000,agua,1,abuelo,2021,6,30
2021-08-22 11:05:58.523000000,refresco,3,abuela,2021,8,22
2021-12-18 01:23:34.735000000,refresco,1,papa,2021,12,18
2021-05-08 16:39:21.695000000,jugo,2,hijo,2021,5,8
2021-09-03 12:05:03.372000000,agua,2,abuelo,2021,9,3
2021-03-29 22:37:04.352000000,te,2,abuela,2021,3,29
2021-07-20 04:37:18.840000000,te,0,papa,2021,7,20
2021-10-23 06:02:22.763000000,te,0,abuela,2021,10,23
2021-09-28 04:30:37.644000000,agua,3,abuelo,2021,9,28
2021-05-27 13:30:08.296000000,te,1,abuelo,2021,5,27
2021-10-17 01:58:34.471000000,agua,1,hija,2021,10,17
2021-01-22 15:15:09.731000000,jugo,2,papa,2021,1,22
2021-12-01 14:32:05.620000000,refresco,2,papa,2021,12,1
2021-03-27 14:56:18.379000000,refresco,0,mama,2021,3,27
2021-10-20 20:42:35.260000000,jugo,2,papa,2021,10,20
2021-03-14 10:24:02.650000000,refresco,3,mama,2021,3,14
2021-04-07 11:11:45.653000000,jugo,2,abuela,2021,4,7
2021-03-14 10:10:08.316000000,refresco,1,mama,2021,3,14
2021-03-07 23:04:55.435000000,jugo,3,abuela,2021,3,7
2021-11-28 12:07:23.330000000,te,1,mama,2021,11,28
2021-05-26 15:17:48.796000000,jugo,2,mama,2021,5,26
2021-02-12 17:50:50.851000000,jugo,1,hija,2021,2,12
2021-12-12 01:39:34.524000000,agua,1,abuelo,2021,12,12
2021-12-02 20:05:51.260000000,te,1,hija,2021,12,2
2021-04-11 05:59:02.429000000,te,1,papa,2021,4,11
2021-11-16 11:52:58.512000000,agua,0,abuela,2021,11,16
2021-11-24 13:15:45.264000000,jugo,1,mama,2021,11,24
2021-06-23 02:04:42.239000000,jugo,3,hija,2021,6,23
2021-01-23 09:40:33.565000000,refresco,3,abuelo,2021,1,23
2021-08-09 01:43:49.181000000,te,0,papa,2021,8,9
2021-11-19 03:05:56.664000000,refresco,2,mama,2021,11,19
2021-12-18 03:39:34.067000000,refresco,1,hija,2021,12,18
2021-03-09 23:55:20.540000000,jugo,3,mama,2021,3,9
2021-03-11 21:15:40.635000000,refresco,1,papa,2021,3,11
2021-07-10 19:02:00.256000000,agua,1,hijo,2021,7,10
2021-01-24 13:56:37.671000000,jugo,3,hija,2021,1,24
2021-04-05 14:05:22.667000000,refresco,2,mama,2021,4,5
2021-07-08 01:33:53.567000000,refresco,2,papa,2021,7,8
2021-01-22 11:38:10.646000000,agua,1,abuelo,2021,1,22
2021-03-11 00:11:07.305000000,te,1,abuela,2021,3,11
2021-06-07 02:41:35.979000000,agua,2,papa,2021,6,7
2021-12-01 07:23:52.579000000,refresco,2,hija,2021,12,1
2021-07-30 08:24:39.686000000,te,2,mama,2021,7,30
2021-11-15 12:19:04.190000000,te,0,abuela,2021,11,15
2021-04-09 21:21:45.142000000,jugo,1,abuela,2021,4,9
2021-11-11 17:13:37.031000000,jugo,0,abuelo,2021,11,11
2021-05-29 05:04:45.666000000,te,1,hija,2021,5,29
2021-02-19 01:10:46.515000000,jugo,1,abuelo,2021,2,19
2021-03-20 10:34:14.357000000,jugo,2,papa,2021,3,20
2021-10-07 00:52:53.321000000,te,2,abuelo,2021,10,7
2021-01-05 17:24:14.346000000,agua,2,abuelo,2021,1,5
2021-06-20 10:30:18.949000000,refresco,2,abuelo,2021,6,20
2021-07-11 05:51:09.341000000,jugo,2,hijo,2021,7,11
2021-03-24 16:08:52.855000000,te,2,papa,2021,3,24
2021-03-03 09:49:22.877000000,te,3,papa,2021,3,3
2021-05-18 23:38:54.775000000,jugo,0,abuelo,2021,5,18
2021-09-11 09:26:23.998000000,agua,2,papa,2021,9,11
2021-01-16 05:17:43.476000000,refresco,0,papa,2021,1,16
2021-01-28 10:40:19.266000000,jugo,0,hijo,2021,1,28
2021-10-19 00:12:04.859000000,jugo,2,hijo,2021,10,19
2021-05-06 09:21:19.087000000,te,1,mama,2021,5,6
2021-01-28 02:32:36.601000000,te,0,mama,2021,1,28
2021-09-30 20:21:49.198000000,agua,1,papa,2021,9,30
2021-02-20 02:46:48.464000000,refresco,2,mama,2021,2,20
2021-07-09 10:24:11.631000000,jugo,2,papa,2021,7,9
2021-10-30 22:19:00.403000000,te,3,hija,2021,10,30
2021-11-15 15:19:49.191000000,te,3,hija,2021,11,15
2021-09-22 17:16:24.985000000,te,1,hija,2021,9,22
2021-09-17 19:54:18.122000000,jugo,2,abuelo,2021,9,17
2021-09-27 06:45:57.589000000,te,2,mama,2021,9,27
2021-12-09 20:18:39.982000000,jugo,1,papa,2021,12,9
2021-10-01 09:37:52.085000000,agua,3,abuela,2021,10,1
2021-02-20 22:31:57.670000000,agua,2,hijo,2021,2,20
2021-12-28 22:53:48.129000000,jugo,1,hija,2021,12,28
2021-06-24 09:25:47.351000000,refresco,2,mama,2021,6,24
2021-06-26 07:53:56.216000000,refresco,3,abuelo,2021,6,26
2021-07-17 09:26:11.165000000,agua,2,hijo,2021,7,17
2021-01-27 13:20:30.334000000,refresco,1,hijo,2021,1,27
2021-08-25 22:44:06.117000000,refresco,0,abuelo,2021,8,25
2021-05-31 12:45:25.398000000,refresco,1,abuela,2021,5,31
2021-06-21 06:48:12.845000000,refresco,3,hijo,2021,6,21
2021-10-06 12:04:58.749000000,te,0,hijo,2021,10,6
2021-04-05 15:30:27.882000000,te,1,hijo,2021,4,5
2021-04-19 08:47:40.243000000,refresco,0,papa,2021,4,19
2021-08-04 08:19:34.835000000,agua,1,hijo,2021,8,4
2021-06-01 16:35:37.715000000,jugo,0,hijo,2021,6,1
2021-06-09 21:48:24.726000000,agua,3,papa,2021,6,9
2021-12-17 07:46:27.683000000,agua,1,papa,2021,12,17
2021-01-09 11:26:17.757000000,te,2,papa,2021,1,9
2021-02-22 19:23:05.481000000,jugo,1,abuelo,2021,2,22
2021-05-16 04:30:13.672000000,te,1,hijo,2021,5,16
2021-03-21 08:47:39.192000000,te,2,papa,2021,3,21
2021-06-10 14:53:34.301000000,agua,2,mama,2021,6,10
2021-04-06 11:26:05.786000000,jugo,3,abuela,2021,4,6
2021-11-05 14:49:48.217000000,te,3,abuelo,2021,11,5
2021-05-11 00:08:59.378000000,refresco,2,hijo,2021,5,11
2021-03-03 11:02:03.381000000,jugo,1,hijo,2021,3,3
2021-06-10 05:37:51.222000000,agua,2,papa,2021,6,10
2021-05-10 01:54:52.559000000,refresco,1,abuela,2021,5,10
2021-06-10 23:02:44.739000000,jugo,1,abuela,2021,6,10
2021-12-28 01:53:47.839000000,agua,1,abuela,2021,12,28
2021-09-06 11:48:20.680000000,te,3,papa,2021,9,6
2021-06-04 05:16:28.392000000,jugo,2,hija,2021,6,4
